name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
Nice room near Times Square BEST LOCATION ❤️,Manhattan,Hell's Kitchen,40.76126,-73.99117,Private room,90,1,11,2017-07-30,0.42,1,0
Cozy Cool Room in my Charming Loft,Brooklyn,Canarsie,40.63794,-73.8988,Private room,51,3,0,,,2,365
Cozy and Classy Private Duplex in UES,Manhattan,Upper East Side,40.77601,-73.95441,Entire home/apt,178,2,72,2018-06-18,2.07,1,0
Elegant apt in the heart of the Flatiron District,Manhattan,Chelsea,40.73902,-73.99143,Entire home/apt,1100,3,0,,,1,0
Beautiful Sunny South Slope 1 BR,Brooklyn,Sunset Park,40.66142,-73.99078,Entire home/apt,119,3,63,2019-06-28,1.82,1,18
Cozy 1 Bedroom in Brooklyn,Brooklyn,Sunset Park,40.64187,-74.01252,Private room,30,2,1,2016-09-06,0.03,1,0
"Comfy room in brownstone, Ridgewood",Queens,Ridgewood,40.70365,-73.89572,Private room,100,1,0,,,1,0
Perfect UES location! Museum quality private room!,Manhattan,East Harlem,40.78986,-73.94848,Private room,100,3,80,2019-07-02,2.26,1,112
Coney Island cabana apt - 1/2 BLOCK FROM BEACH!,Brooklyn,Coney Island,40.5738,-73.99044,Entire home/apt,100,2,2,2016-08-28,0.06,1,0
Studio | Heart of Greenwich Village,Manhattan,West Village,40.73598,-74.00736,Entire home/apt,250,3,3,2018-10-08,0.09,1,328
Large room with AC a in house with a porch,Brooklyn,Kensington,40.64023,-73.9717,Private room,30,2,1,2016-08-05,0.03,1,0
Spacious 1BD w Amazing City views,Manhattan,Midtown,40.74572,-73.98285,Entire home/apt,240,2,5,2016-12-04,0.14,1,0
Skylight Room in 3 bedroom duplex,Brooklyn,Crown Heights,40.67059,-73.9337,Private room,60,2,147,2019-07-02,4.1,3,0
Big bright room in 3 bedroom duplex,Brooklyn,Crown Heights,40.67112,-73.93368,Private room,65,1,149,2019-06-25,4.17,3,185
Two bedroom apt in house with private entrance,Brooklyn,Crown Heights,40.67114,-73.93238,Entire home/apt,140,2,137,2019-07-02,3.82,3,234
Large 1BR in Heart of the West Village,Manhattan,West Village,40.7349,-74.0005,Entire home/apt,265,2,19,2019-04-25,0.55,1,5
Great apt right by Grand Central!!,Manhattan,Midtown,40.75043,-73.97243,Private room,86,14,0,,,1,346
SuperLuxuryRoom IconicBuilding Walk to WorldTrade,Manhattan,Financial District,40.70525,-74.01045,Private room,145,1,9,2018-12-10,0.25,1,90
Luxury studio apartment with fantastic view,Manhattan,Financial District,40.70657,-74.00549,Entire home/apt,100,2,1,2016-07-23,0.03,1,0
Upper East side Cozy apartment.,Manhattan,East Harlem,40.7992,-73.93879,Private room,75,1,0,,,1,0
private 1 bedroom/Flat,Queens,Rosedale,40.6599,-73.73221,Entire home/apt,105,2,29,2019-06-04,0.81,3,38
Huge Bedroom in Hip Williamsburg Loft-- Bedford L,Brooklyn,Williamsburg,40.71608,-73.95888,Private room,85,3,1,2016-08-16,0.03,1,0
Studio close to Central Park and Museum Mile,Manhattan,East Harlem,40.78992,-73.94888,Entire home/apt,150,2,5,2016-08-28,0.14,1,0
Large Artsy Bedroom in hip & cool E. Village Apt!,Manhattan,East Village,40.72166,-73.98327,Private room,100,3,3,2018-08-10,0.14,4,157
Williamsburg w attached balcony - Manhattan view!,Brooklyn,Williamsburg,40.70936,-73.94708,Private room,90,6,0,,,1,0
Warm Central Park Upper West Side One Bedroom,Manhattan,Upper West Side,40.78903,-73.96956,Entire home/apt,150,1,0,,,1,0
beautiful one bedroom apartment,Brooklyn,Midwood,40.62755,-73.96097,Entire home/apt,75,1,1,2016-07-21,0.03,1,0
"Loft style apt, renovated",Brooklyn,Williamsburg,40.71912,-73.9572,Private room,60,1,53,2018-03-15,1.52,3,0
"Clean and modern in prime Carroll Gardens, BK",Brooklyn,Carroll Gardens,40.67615,-74.00004,Private room,80,3,47,2019-05-13,1.4,1,308
Luxury New Private Duplex in Trendy Bed-Stuy,Brooklyn,Bedford-Stuyvesant,40.69034,-73.9444,Entire home/apt,137,2,99,2019-06-01,2.76,1,221
Privet outdoor space!!!,Manhattan,Murray Hill,40.74733,-73.97289,Entire home/apt,79,30,5,2019-01-06,0.36,2,308
Pibbles and friends,Brooklyn,Fort Greene,40.6892,-73.97474,Private room,120,3,92,2019-06-24,2.57,1,130
"Airy, light-flooded 2-bath West Village apartment",Manhattan,West Village,40.73282,-74.00684,Entire home/apt,220,5,1,2016-08-06,0.03,1,0
Sunlight Suite,Manhattan,West Village,40.73564,-74.00303,Entire home/apt,300,1,158,2019-07-02,4.39,1,172
"West 89th Street, Luxury Svcd 1bd UWS Apartment",Manhattan,Upper West Side,40.78989,-73.97264,Entire home/apt,267,30,0,,,87,354
AMAZING Entire-Floor Apt in Manhattan Brownstone,Manhattan,Washington Heights,40.83604,-73.94067,Entire home/apt,149,3,0,,,1,0
"West 16th street, Charming Svced 1bd Apt",Manhattan,Chelsea,40.73929,-73.99914,Entire home/apt,195,30,0,,,87,57
Clean & Cozy Close to Macy's,Manhattan,Chelsea,40.74767,-73.99003,Private room,90,1,9,2017-09-29,0.28,1,0
Warm and cozy in Brooklyn,Brooklyn,Prospect-Lefferts Gardens,40.65554,-73.958,Private room,48,1,68,2019-06-25,2.02,2,14
Contemporary Park Slope Brooklyn Duplex,Brooklyn,South Slope,40.66414,-73.98507,Entire home/apt,179,2,16,2019-05-27,0.45,1,1
Clinton Hill Apartment Single Bedroom ! Pratt ~~,Brooklyn,Clinton Hill,40.69591,-73.96284,Private room,58,2,1,2018-09-23,0.1,1,0
Sunny Bedroom in trendy Bushwick Apt. w/Rooftop,Brooklyn,Bushwick,40.7038,-73.92712,Private room,50,14,0,,,1,0
Cozy+Sunny 2 bedroom apt. close to Central Park,Manhattan,Harlem,40.80719,-73.95303,Entire home/apt,49,4,137,2019-06-29,3.88,2,279
Charming Artist Studio,Brooklyn,Prospect-Lefferts Gardens,40.65915,-73.96004,Entire home/apt,110,2,6,2016-10-23,0.17,1,0
Cozy 1+ br apt. on Riverside Dr,Manhattan,Morningside Heights,40.80822,-73.96567,Entire home/apt,190,5,9,2019-01-02,0.26,1,0
Relaxing Ocean Front Beach Home in Arverne!,Queens,Arverne,40.58843,-73.79905,Entire home/apt,450,3,15,2019-06-22,0.42,1,290
SweetSpot in Upper Manhattan,Manhattan,Harlem,40.82446,-73.94318,Private room,69,1,64,2019-07-01,1.81,1,322
"NYC Chelsea Neighborhood, Studio Apartment",Manhattan,Chelsea,40.74011,-73.99829,Entire home/apt,250,2,45,2019-06-19,1.9,1,90
Beautiful Chelsea loft perfect for families.,Manhattan,Chelsea,40.74438,-73.99329,Entire home/apt,400,5,0,,,1,0
AMAZING DESIGNER TIMES SQUARE APARTMENT- BEAUTIFUL,Manhattan,Hell's Kitchen,40.76325,-73.98981,Entire home/apt,249,7,100,2019-06-10,2.82,1,237
Cozy spot in the lovely East Village neighborhood,Manhattan,East Village,40.72677,-73.98194,Entire home/apt,125,1,2,2016-08-08,0.06,1,0
"Comfortable, Convenient in Central Park North Area",Manhattan,Harlem,40.79862,-73.953,Private room,96,2,0,,,1,0
Cozy Bed/Bath w/Appliances Close to JFK/LGA,Queens,Cambria Heights,40.70219,-73.73296,Private room,60,1,78,2019-07-06,2.18,1,78
Charming and Quiet West Village Studio,Manhattan,West Village,40.73897,-74.0018,Entire home/apt,179,5,32,2019-06-30,0.9,1,41
Large and Luminous room available for female only,Queens,Briarwood,40.70648,-73.81491,Private room,48,1,0,,,1,0
Chelsea 1 bed/studio,Manhattan,Chelsea,40.74062,-73.99824,Entire home/apt,155,2,29,2018-11-25,0.83,1,8
Comfy Sunnyside bedroom,Queens,Sunnyside,40.7372,-73.919,Private room,65,5,12,2018-05-11,0.34,1,76
Modern Downtown Space for Families: 3 bed | 2 bath,Manhattan,Chinatown,40.71655,-73.99203,Entire home/apt,499,1,116,2019-06-30,3.24,4,30
Luxury TriBeCa Apartment with Amazing Water View,Manhattan,SoHo,40.72461,-74.01136,Entire home/apt,250,2,2,2016-09-11,0.06,1,130
South Slope Modern 1+ Bedroom with Outdoor Space,Brooklyn,Sunset Park,40.66285,-73.9908,Entire home/apt,120,2,12,2018-07-08,0.33,2,27
Nice Spot in Bushwick,Brooklyn,Bushwick,40.70318,-73.92609,Private room,50,1,64,2019-06-28,1.78,2,302
Charming Poet's Room in Sunny Apartment,Brooklyn,Crown Heights,40.67147,-73.95181,Private room,48,2,2,2016-08-08,0.06,1,0
Bushwick plays,Brooklyn,Bushwick,40.69271,-73.91361,Private room,45,30,5,2018-07-31,0.15,2,339
Full bed in private Bushwick room,Brooklyn,Bushwick,40.69822,-73.92918,Private room,50,2,59,2018-04-22,1.67,1,0
"1 br in Williamsburg, near L train",Brooklyn,Williamsburg,40.71378,-73.96257,Private room,75,2,17,2017-07-30,0.47,5,0
Charming Brooklyn Heights floor-through apartment,Brooklyn,Brooklyn Heights,40.69976,-73.99313,Private room,65,7,1,2016-08-14,0.03,1,0
Huge Sunny Apartment in Heart of Harlem NYC,Manhattan,Harlem,40.82228,-73.93894,Private room,90,1,30,2018-01-04,0.84,1,0
"Comfy bedroom, central in Manhattan",Manhattan,Kips Bay,40.74488,-73.98079,Private room,56,14,0,,,1,0
Nini's Art Shack,Brooklyn,Bushwick,40.68798,-73.90677,Private room,80,1,2,2016-11-01,0.06,2,281
3 Bedroom Apartment for Rent,Manhattan,Greenwich Village,40.73085,-74.00079,Entire home/apt,174,360,0,,,1,365
1920s Room 1 block from Prospect Park and Q Access,Brooklyn,Prospect-Lefferts Gardens,40.65663,-73.95989,Private room,43,1,6,2017-03-01,0.19,1,0
Space to rest near LaGuardia Airport,Queens,East Elmhurst,40.77009,-73.87708,Private room,32,1,411,2019-07-04,11.4,5,161
Sun Filled Pre-War Apartment near Fort Greene Park,Brooklyn,Fort Greene,40.69394,-73.97115,Shared room,39,1,12,2016-09-07,0.34,1,0
,Brooklyn,Bedford-Stuyvesant,40.69421,-73.93234,Private room,70,3,0,,,1,0
Zen Bed/Bath in Historic Harlem,Manhattan,Harlem,40.81667,-73.94342,Private room,75,3,6,2017-05-21,0.17,1,0
Modern 1 BR Williamsburg Apartment with backyard,Brooklyn,Williamsburg,40.70965,-73.95782,Entire home/apt,130,3,4,2016-12-26,0.12,1,0
Brooklyn Oasis,Brooklyn,Bushwick,40.69572,-73.9293,Private room,85,2,3,2017-09-28,0.1,1,83
Mediterranean Style Charmer 20 mins to Manhattan,Queens,Jackson Heights,40.74935,-73.88332,Shared room,23,1,0,,,1,0
"Quirky, art filled Greenpoint  Apartment!",Brooklyn,Greenpoint,40.72488,-73.94085,Entire home/apt,95,1,39,2019-06-23,1.1,2,29
Cozy Brooklyn Home with an Artistic Twist,Brooklyn,Bushwick,40.68128,-73.90546,Private room,90,2,26,2018-10-17,0.73,1,84
Comfortable room in a Bushwick duplex with patio,Brooklyn,Bushwick,40.70175,-73.91525,Private room,45,1,9,2018-03-20,0.45,1,0
Nice cheap place to stay in NYC,Bronx,Longwood,40.82148,-73.89122,Private room,60,1,8,2016-12-29,0.22,1,364
CUTE STUDIO ON UPPER EAST SIDE @ CENTRAL PARK,Manhattan,Upper East Side,40.77007,-73.9569,Entire home/apt,119,30,12,2019-06-11,0.38,16,339
Centrally Located Private Midtown Studio,Manhattan,Kips Bay,40.74506,-73.97934,Entire home/apt,150,3,10,2019-06-15,0.37,1,8
Awesome 2bdr in the heart of the East Village,Manhattan,East Village,40.72872,-73.98267,Entire home/apt,295,7,12,2019-05-25,0.78,2,128
Beautiful Bushwick loft for August,Brooklyn,Bushwick,40.69493,-73.9294,Private room,38,15,0,,,1,0
Two bedrooms available in a cozy apartment.,Brooklyn,Windsor Terrace,40.65544,-73.97491,Private room,130,2,4,2018-01-01,0.11,1,0
private room in LES,Manhattan,Lower East Side,40.71795,-73.98553,Private room,70,1,1,2016-10-03,0.03,1,0
Private cozy  suite,Queens,Woodhaven,40.68904,-73.85052,Entire home/apt,71,1,155,2019-07-01,4.34,1,173
Bed in Semi-Private Room Close to Park and Train,Brooklyn,Prospect-Lefferts Gardens,40.66249,-73.958,Shared room,75,2,1,2017-09-05,0.04,1,0
Charming and bright place with a good vibe!,Queens,Woodhaven,40.6905,-73.85612,Entire home/apt,85,2,74,2019-07-02,2.08,1,52
"Clean, cozy, comfortable private room. Perfect Loc",Brooklyn,Crown Heights,40.67564,-73.94798,Private room,67,3,29,2019-03-19,0.84,2,365
"Spacious, Quiet 1 Bedroom in Hamilton Heights",Manhattan,Harlem,40.83117,-73.94846,Entire home/apt,75,1,5,2018-08-26,0.14,1,0
La Guardia Airport Cozy Attic studio with Spiral,Queens,Corona,40.75134,-73.85219,Entire home/apt,79,2,83,2019-07-02,2.32,6,320
Brand new beautiful one bedroom apartment,Queens,Flushing,40.73851,-73.80106,Entire home/apt,72,1,256,2019-06-24,7.1,1,124
"Heart of Manhattan, affordable place!",Manhattan,Midtown,40.75247,-73.97305,Entire home/apt,153,1,1,2016-07-31,0.03,1,0
Faith,Queens,Jamaica,40.68689,-73.80117,Private room,60,7,5,2019-06-01,0.27,4,160
UES Oasis,Manhattan,Upper East Side,40.77711,-73.95367,Entire home/apt,150,5,47,2018-12-11,1.69,1,0
Beautiful Cozy Apartment near Soho!,Manhattan,East Village,40.72564,-73.98772,Entire home/apt,142,3,15,2019-05-28,0.71,1,118
Great location 15minutes to South central park NYC,Queens,Sunnyside,40.74305,-73.9168,Private room,55,2,67,2019-04-09,1.9,1,0
"Large & unique, über-modern studio",Brooklyn,Williamsburg,40.71192,-73.9628,Entire home/apt,249,9,19,2017-10-04,0.66,1,0
Vibrant Apartment with Backyard Oasis in Bushwick,Brooklyn,Bushwick,40.68463,-73.90729,Entire home/apt,111,2,73,2019-06-02,2.06,3,170
Large Sunny 1 BR - Heart of Manhattan!,Manhattan,East Village,40.72808,-73.98377,Entire home/apt,179,4,13,2018-10-27,0.38,1,0
The Mahogany Suite- The Solo Adventurer l,Brooklyn,East Flatbush,40.6628,-73.93397,Private room,65,2,24,2019-06-17,0.71,3,290
Private Bedroom in the Heart of Hell's Kitchen,Manhattan,Hell's Kitchen,40.76094,-73.994,Private room,63,2,36,2018-12-16,3.06,1,59
Quiet Full Bed - East Village / LES Comfy Colorful,Manhattan,East Village,40.72097,-73.97769,Private room,90,12,1,2016-08-14,0.03,2,0
One Bedroom in Heart of Chelsea,Manhattan,Chelsea,40.74121,-73.99995,Entire home/apt,143,4,1,2016-10-09,0.03,1,0
"Room for rent. Quiet, safe.",Manhattan,East Village,40.73058,-73.99002,Private room,85,2,10,2017-06-30,0.28,1,306
Private Queen bedroom in Soho/Nolita Apartment,Manhattan,Nolita,40.7232,-73.9946,Private room,67,1,86,2019-06-16,2.5,1,45
nice room in bedstuy G,Brooklyn,Bedford-Stuyvesant,40.68403,-73.94979,Private room,45,1,87,2019-07-02,2.5,15,305
Gorgeous Sunset-facing Carroll Gardens 1 Bedroom,Brooklyn,Gowanus,40.67963,-73.98951,Entire home/apt,299,2,0,,,1,0
Trendy 2BR Apt Next to Prospect Park -Kid Friendly,Brooklyn,Prospect-Lefferts Gardens,40.65813,-73.95773,Entire home/apt,150,6,9,2019-01-02,0.26,1,0
Cool respite in the city,Manhattan,Upper East Side,40.7638,-73.95547,Entire home/apt,175,2,3,2017-09-02,0.08,1,310
Cozy Studio in Astoria NYC,Queens,Ditmars Steinway,40.77943,-73.9117,Private room,90,2,80,2019-07-02,2.35,1,350
"Large one bedroom in Forest Hills Gardens, Queens!",Queens,Forest Hills,40.71688,-73.84238,Entire home/apt,150,1,0,,,1,0
Williamsburg Studio w/ Roof Deck and Gym,Brooklyn,Williamsburg,40.71973,-73.94272,Entire home/apt,100,2,3,2016-11-14,0.09,1,0
contemp. 1 BDRM in Trendy 2 BDRM Cyp. Hill,Brooklyn,East New York,40.67321,-73.86865,Private room,53,1,85,2019-05-25,2.39,1,54
"Large, sunny and beautiful bedroom in Brooklyn",Brooklyn,Flatbush,40.64706,-73.9593,Private room,40,5,0,,,1,0
Spacious and Sunny Greenpoint Townhouse,Brooklyn,Greenpoint,40.73101,-73.95248,Entire home/apt,250,3,80,2019-06-23,2.23,1,98
Comfortable apartment in FH,Queens,Forest Hills,40.72116,-73.83948,Entire home/apt,115,2,0,,,1,0
Room in the heart of Williamsburg,Brooklyn,Williamsburg,40.71531,-73.94693,Private room,85,2,3,2016-09-06,0.09,1,0
"Serene, light-filled pre-war apartment in Brooklyn",Brooklyn,Flatbush,40.64088,-73.96125,Private room,45,2,1,2016-07-31,0.03,1,0
Peaceful Upper East Side Studio,Manhattan,Upper East Side,40.76666,-73.95507,Entire home/apt,65,7,1,2016-08-22,0.03,1,0
Greenpoint/Williamsburg Comfortable New Apartment,Brooklyn,Greenpoint,40.73101,-73.9405,Entire home/apt,160,3,57,2019-06-11,1.63,1,314
"1brm apartment ,Charming, with beautiful light",Manhattan,East Harlem,40.79356,-73.94164,Entire home/apt,95,7,0,,,1,0
Beautiful + Private 1 Bedroom in North Park Slope,Brooklyn,Park Slope,40.68083,-73.97823,Entire home/apt,120,7,0,,,1,0
Park Slope Artsy Gem,Brooklyn,South Slope,40.66548,-73.98025,Entire home/apt,151,2,0,,,1,0
1 Bedroom in shared 2 bedroom NYC walkup apartment,Manhattan,Hell's Kitchen,40.76367,-73.98912,Private room,98,5,0,,,1,0
Large Bedroom - Great Location - Grand Central,Manhattan,Murray Hill,40.74702,-73.97563,Private room,100,1,11,2016-09-05,0.31,1,0
COZY PRIVATE ROOM IN GRAMERCY,Manhattan,Gramercy,40.737,-73.98231,Private room,74,2,8,2016-11-27,0.22,1,0
Spacious bedroom in Inwood,Manhattan,Inwood,40.86531,-73.92725,Private room,50,1,39,2019-05-29,1.11,1,1
New York City - World of Antiques,Queens,Ridgewood,40.70153,-73.89706,Entire home/apt,75,3,209,2019-06-16,5.87,1,14
Super Comfortable Nest,Manhattan,East Harlem,40.81473,-73.93583,Entire home/apt,150,4,1,2018-07-18,0.08,1,0
bargain in Flatbush,Brooklyn,Prospect-Lefferts Gardens,40.65776,-73.95218,Private room,30,6,1,2016-08-07,0.03,1,0
"Great 1 bedroom Upper West: AC, TV & Dishwasher",Manhattan,Harlem,40.81745,-73.95164,Entire home/apt,200,1,10,2018-09-25,0.28,1,0
Unique Cozy Designer Loft 1 stop to Manhattan,Brooklyn,Greenpoint,40.72521,-73.95575,Private room,67,2,103,2019-07-07,2.94,2,126
Brand New Studio with Balcony @ Williamsburg!,Brooklyn,Williamsburg,40.70925,-73.95255,Entire home/apt,153,3,17,2019-06-28,0.48,1,31
Sunny bedroom in Williamsburg,Brooklyn,Williamsburg,40.70937,-73.96128,Private room,75,3,0,,,1,0
"Private Floor, Room and bathroom In Townhouse, BK",Brooklyn,Williamsburg,40.71555,-73.96325,Private room,98,10,62,2019-07-02,1.78,2,211
AS CENTRAL AS YOU CAN GET ~SUTTON PLACE 3BR-LUXURY,Manhattan,Midtown,40.75546,-73.96454,Entire home/apt,375,30,0,,,49,245
New Building Spacious 2 bed 2 bath  E. Harlem!,Manhattan,East Harlem,40.80326,-73.935,Entire home/apt,215,1,49,2019-06-19,1.42,1,316
1 BDRM IN ASTORIA (PUBLIC TRANS) CLOSE TO US OPEN,Queens,Astoria,40.7684,-73.91762,Private room,60,1,1,2016-10-09,0.03,1,0
Private room in 2bedroom apartment @ East Village,Manhattan,East Village,40.73178,-73.98613,Private room,100,3,12,2018-03-18,0.34,1,0
"Cozy, Brooklyn Beauty. Great for a nice holiday!",Brooklyn,Bedford-Stuyvesant,40.6866,-73.94583,Entire home/apt,131,2,27,2019-06-24,0.76,2,96
"Comfy 1-Bedroom, Just a block from the Subway!",Queens,Ditmars Steinway,40.77487,-73.91196,Entire home/apt,120,1,237,2019-06-26,6.62,1,71
Perfect blend of urban and village atmosphere,Queens,Forest Hills,40.71298,-73.83601,Private room,75,1,16,2017-07-30,0.46,1,0
lovely home on 38th street,Manhattan,Murray Hill,40.74737,-73.97407,Entire home/apt,79,29,4,2019-04-07,0.42,2,201
COMFORTABLE BEDROOM GREAT LOCATION,Manhattan,Hell's Kitchen,40.76439,-73.98943,Private room,120,3,53,2019-06-30,1.53,2,197
Spacious Apartment in the Heart of LES,Manhattan,Lower East Side,40.72094,-73.98649,Entire home/apt,228,1,1,2016-08-08,0.03,1,0
Private Room in Upper East Side - Queen bed,Manhattan,Upper East Side,40.76471,-73.95819,Private room,85,1,2,2016-08-20,0.06,2,0
GORGEOUS STUDIO ON MIDTOWN,Manhattan,Midtown,40.75601,-73.96625,Entire home/apt,115,8,24,2019-06-20,0.69,1,196
2 Bed Private Entrance Williamsburg,Brooklyn,Williamsburg,40.71339,-73.96369,Entire home/apt,130,1,78,2018-02-02,2.17,1,0
Beautiful cozzy apartment in the Upper East Side,Manhattan,Upper East Side,40.76848,-73.96014,Entire home/apt,109,1,25,2019-06-23,0.75,1,0
Beautiful sunny room in Manhattan,Manhattan,East Harlem,40.78752,-73.94314,Private room,65,4,0,,,1,0
Very Sunny 1br in Bedstuy - Dog and Kids Friendly,Brooklyn,Bedford-Stuyvesant,40.68806,-73.95491,Entire home/apt,200,2,13,2017-12-27,0.37,1,0
LUXURY 3 BR WITH DOORMAN~1600 BROADWAY,Manhattan,Theater District,40.75924,-73.98541,Entire home/apt,560,30,0,,,49,356
One bedroom cutie in South Willamsburg,Brooklyn,Williamsburg,40.70698,-73.96193,Entire home/apt,180,4,43,2019-07-08,1.22,1,82
Location Enya,Queens,Jackson Heights,40.74684,-73.89252,Shared room,35,30,1,2017-10-28,0.05,18,280
"Spacious, Stylish, & Cozy in Bed-Stuy",Brooklyn,Bedford-Stuyvesant,40.68569,-73.92549,Entire home/apt,140,5,17,2019-04-27,0.49,1,330
Lincoln Square - Upper West Side Haven,Manhattan,Upper West Side,40.79919,-73.96249,Private room,110,1,84,2019-06-23,2.35,1,301
Cute/Private 1 Bedroom Apt in Queens,Queens,Maspeth,40.71628,-73.90093,Entire home/apt,75,2,5,2018-06-03,0.14,1,0
Artsy master suite with attached private bathroom,Brooklyn,Bedford-Stuyvesant,40.69249,-73.94298,Private room,50,15,2,2017-01-01,0.06,1,0
Brooklyn (G)reenery,Brooklyn,Bedford-Stuyvesant,40.69484,-73.94616,Private room,89,2,1,2017-09-05,0.04,1,365
Charming Midtown West 3 BR Exposed Brick,Manhattan,Hell's Kitchen,40.75999,-73.99274,Entire home/apt,175,30,5,2019-05-27,0.16,91,363
"Large, quiet room with backyard garden",Brooklyn,Bedford-Stuyvesant,40.68774,-73.94867,Private room,65,3,0,,,1,0
Cozy & Spacious Studio in Brooklyn,Brooklyn,Kensington,40.63442,-73.97318,Entire home/apt,55,7,0,,,1,0
"Ideal Bushwick, 2 bdrm, basement, private garden",Brooklyn,Bushwick,40.69633,-73.92143,Entire home/apt,150,3,18,2018-05-28,0.53,1,0
Charming 1 bdr apt. just 17 mins from MANHATTAN!,Queens,Woodside,40.74663,-73.89653,Entire home/apt,96,2,1,2016-08-08,0.03,1,0
Adorable Abode in Harlem,Manhattan,Harlem,40.82085,-73.95398,Private room,75,2,0,,,1,0
"Charming, Spacious 2-Bedroom on UWS",Manhattan,Upper West Side,40.78004,-73.98314,Entire home/apt,210,2,11,2018-10-07,0.32,1,242
NYC apartment in the East Village,Manhattan,East Village,40.72796,-73.98178,Entire home/apt,221,2,78,2019-06-16,2.24,1,270
"Spacious Apartment, historic Brooklyn brownstone.",Brooklyn,Clinton Hill,40.69488,-73.96618,Entire home/apt,150,4,69,2019-06-12,1.93,1,114
Charming pre-war in West Village,Manhattan,West Village,40.73778,-74.00287,Entire home/apt,350,2,16,2018-11-20,0.47,1,16
"Private Rm/King Size Bed, just you +host in apt",Manhattan,Harlem,40.82418,-73.94893,Private room,65,1,45,2019-07-01,1.3,2,34
Bright 3BR w/ large patio in vibrant Williamsburg,Brooklyn,Williamsburg,40.71635,-73.94982,Entire home/apt,325,2,87,2019-06-16,2.45,1,126
Huge 2 Bed Loft Apt in Chic Downtown,Manhattan,NoHo,40.7259,-73.99336,Entire home/apt,407,30,12,2018-11-02,0.34,1,120
"Cute room near Columbia University, Manhatta",Manhattan,Upper West Side,40.80189,-73.9655,Private room,60,20,4,2017-01-15,0.11,1,0
Large Furnished Rm. Near the Park,Brooklyn,Flatbush,40.65345,-73.9566,Private room,91,1,1,2016-10-04,0.03,2,250
Beautiful Brooklyn loft!,Brooklyn,Williamsburg,40.7049,-73.92966,Private room,41,1,2,2017-04-18,0.06,1,0
"West 50th street, Lux 1bd Serviced Apartment*",Manhattan,Hell's Kitchen,40.76297,-73.98588,Entire home/apt,215,30,1,2017-12-02,0.05,87,357
"Large, Sunny Room in Spacious, Modern Apartment",Brooklyn,Williamsburg,40.70847,-73.94568,Private room,57,2,1,2016-10-09,0.03,1,0
Prospect Heights Getaway,Brooklyn,Crown Heights,40.67417,-73.96111,Private room,65,30,11,2016-11-30,0.31,2,0
Spacious & Clean Apartment + Patio. Close to metro,Brooklyn,Bushwick,40.69295,-73.90792,Entire home/apt,149,2,102,2019-06-29,4.27,1,256
Cozy Room in Astoria,Queens,Ditmars Steinway,40.7708,-73.90036,Private room,70,3,23,2019-01-02,0.66,1,365
"LUXURY , FULL OF LIGHT, RENOVATED BIG  1BEDROOM",Manhattan,West Village,40.73624,-74.00311,Entire home/apt,290,3,59,2019-07-01,1.67,1,256
AMAZING  Room in a 2 Bd Apt on the UES!,Manhattan,East Harlem,40.79014,-73.94035,Private room,70,1,60,2019-06-11,1.74,1,66
Perfect Area in Williamsburg - Room,Brooklyn,Williamsburg,40.71014,-73.95871,Private room,90,1,10,2017-07-30,0.28,1,0
Bright UWS Studio with great location,Manhattan,Upper West Side,40.78558,-73.97704,Entire home/apt,150,4,2,2017-06-11,0.06,1,0
Large Prime East Village Bedroom,Manhattan,East Village,40.72646,-73.98498,Private room,100,2,1,2016-08-08,0.03,1,0
Convenient Brooklyn One Bedroom Apartment,Brooklyn,Bedford-Stuyvesant,40.68232,-73.95308,Entire home/apt,165,3,0,,,2,0
Luxury/3bedroom/3bthrm/Privateprkng/beach/rstrnts,Brooklyn,Sheepshead Bay,40.58531,-73.93811,Entire home/apt,224,30,2,2018-06-22,0.08,1,353
Spacious 1BR with amazing rooftop,Manhattan,Financial District,40.70741,-74.0054,Entire home/apt,238,1,0,,,1,0
Huge Lux Designer 1 BR. Renovated,Manhattan,Midtown,40.75637,-73.96338,Entire home/apt,379,20,0,,,1,364
Private Room in Apartment with Balcony,Manhattan,East Harlem,40.80253,-73.94016,Private room,45,21,0,,,1,0
Rockaway Beach Surf and Garden Apartment,Queens,Rockaway Beach,40.58626,-73.81465,Entire home/apt,125,4,1,2016-09-04,0.03,1,0
Comfortable oasis in the heart of Brooklyn,Brooklyn,East Flatbush,40.64474,-73.92297,Entire home/apt,49,2,77,2019-06-23,2.17,1,264
Two bedroom near Grand Central with a view!!,Manhattan,Midtown,40.75083,-73.97151,Entire home/apt,700,5,23,2019-05-08,0.68,1,179
Beautiful Three Bedroom,Brooklyn,East Flatbush,40.66525,-73.92554,Entire home/apt,650,1,3,2016-09-30,0.08,1,0
Cozy located studio in Manhattan,Manhattan,Washington Heights,40.85867,-73.92844,Entire home/apt,150,2,42,2019-06-18,1.61,1,83
Cute bedroom with private entrance from hallway,Brooklyn,Sunset Park,40.64697,-73.99885,Private room,50,20,46,2019-04-30,1.34,3,20
Great private room with all amnetities!,Brooklyn,Cypress Hills,40.68139,-73.89034,Private room,55,2,7,2016-08-29,0.2,1,0
